nr,lab,github,name,colab,link
1,lab-langchain-rag,code,06_chat.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/06_chat.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/06_chat.ipynb )
2,lab-langchain-rag,code,02_document_splitting.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/02_document_splitting.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/02_document_splitting.ipynb )
3,lab-langchain-rag,code,04_retrieval.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/04_retrieval.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/04_retrieval.ipynb )
4,lab-langchain-rag,code,01_document_loading.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/01_document_loading.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/01_document_loading.ipynb )
5,lab-langchain-rag,code,05_question_answering.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/05_question_answering.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/05_question_answering.ipynb )
6,lab-langchain-rag,code,03_vectorstores_and_embeddings.ipynb,https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/03_vectorstores_and_embeddings.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-langchain-rag/blob/main/code/03_vectorstores_and_embeddings.ipynb )
